Player1,Player1 Bingo Count,Player2,Player2 Bingo Count,Game URL,Dictionary
Matthew Tunnicliffe,6,Joshua Castellano ,2,https://www.cross-tables.com/annotated.php?u=50737,CSW21
Dustin Dean,0,Samuel Kaplan ,6,https://www.cross-tables.com/annotated.php?u=48920,NWL23
Ryan Wee,6,Jeremy Khoo,1,https://www.cross-tables.com/annotated.php?u=49423,CSW21
Ryan Wee,6,Tony Sim,2,https://www.cross-tables.com/annotated.php?u=50080,CSW21
Josh Sokol,6,HastyBot,2,https://www.cross-tables.com/annotated.php?u=48124,CSW21
Clay Daniel,1,Ryan Fischer ,6,https://www.cross-tables.com/annotated.php?u=48993,NWL23
Phil Robertshaw,2,Joseph Bennett,6,https://www.cross-tables.com/annotated.php?u=47887,CSW21
Joey Mallick,6,Dennis Kaiser ,1,https://www.cross-tables.com/annotated.php?u=46769,TWL98
Joey Mallick,5,Ronald Howard ,1,https://www.cross-tables.com/annotated.php?u=47103,TWL98
Joey Mallick,3,Marty Gabriel ,5,https://www.cross-tables.com/annotated.php?u=47114,TWL98
Carl Johnson,5,Jonathan Lindh ,1,https://www.cross-tables.com/annotated.php?u=51997,WOW24
Joey Mallick,1,Alan Helfgott ,5,https://www.cross-tables.com/annotated.php?u=47174,TWL98
Thacha,5,PureLoveHee,1,https://www.cross-tables.com/annotated.php?u=46755,CSW21
Thomson Law,5,Brian Po,0,https://www.cross-tables.com/annotated.php?u=51916,CSW24
Joey Mallick,5,Lisa Odom ,1,https://www.cross-tables.com/annotated.php?u=47210,TWL98
Joshua Castellano,2,Erickson Smith ,5,https://www.cross-tables.com/annotated.php?u=46848,CSW21
Shakti,5,James,3,https://www.cross-tables.com/annotated.php?u=52032,CSW24
Chayadevi  Shakti,5,Quinn James,3,https://www.cross-tables.com/annotated.php?u=52033,CSW24
Sam Kantimathi,1,Joey Mallick ,5,https://www.cross-tables.com/annotated.php?u=47349,TWL98
Mark Kenas,2,Joey Mallick ,5,https://www.cross-tables.com/annotated.php?u=46699,TWL98
Clay Daniel,5,Dustin Dean ,2,https://www.cross-tables.com/annotated.php?u=52072,NWL23
Richard Okechi,5,Bob Mbugua,4,https://www.cross-tables.com/annotated.php?u=49136,CSW21
Lisa Perry,5,Dustin Dean ,1,https://www.cross-tables.com/annotated.php?u=51322,NWL23
PureLoveHee,1,Liew Kian Boon,5,https://www.cross-tables.com/annotated.php?u=47467,CSW21
Larry Sherman,1,Joey Mallick ,5,https://www.cross-tables.com/annotated.php?u=47496,TWL98
Jamie Ryan,5,Joey Mallick ,2,https://www.cross-tables.com/annotated.php?u=51186,NWL23
Joshua Castellano,5,Bradley Whitmarsh ,1,https://www.cross-tables.com/annotated.php?u=52152,CSW24
Dean Saldanha,5,Joey Mallick ,3,https://www.cross-tables.com/annotated.php?u=47557,TWL98
Daniel Goldman,3,Joey Mallick ,5,https://www.cross-tables.com/annotated.php?u=47537,TWL98
Joey Mallick,5,Joel Horn ,2,https://www.cross-tables.com/annotated.php?u=47604,TWL98
Noah Slatkoff,5,Matthew Tunnicliffe,2,https://www.cross-tables.com/annotated.php?u=46633,CSW21
Joey Mallick,5,Wallace Schultz ,3,https://www.cross-tables.com/annotated.php?u=49076,NWL23
Joey Mallick,1,Alan Helfgott ,5,https://www.cross-tables.com/annotated.php?u=46641,TWL98
Jonathan Lindh,5,Vincent Van Dover ,1,https://www.cross-tables.com/annotated.php?u=51051,WOW24
Joe Edley,2,Joey Mallick ,5,https://www.cross-tables.com/annotated.php?u=47696,TWL98
Joey Mallick,1,Trey Wright ,5,https://www.cross-tables.com/annotated.php?u=47644,TWL98
Kit,5,Pok,4,https://www.cross-tables.com/annotated.php?u=49256,CSW21
Joey Mallick,5,Nathan Benedict ,0,https://www.cross-tables.com/annotated.php?u=47724,TWL98
Joey Mallick,5,Marlon Hill ,1,https://www.cross-tables.com/annotated.php?u=47731,TWL98
Nick Deller,5,Brian Po,2,https://www.cross-tables.com/annotated.php?u=50935,CSW21
